X,Y,Z
30.841088,3000,4.593562225
30.841088,3000.5,10.92256679
30.841088,3001,16.76482748
30.841088,3001.5,17.06645346
30.841088,3002,17.71824114
30.841088,3002.5,17.56344323
30.841088,3003,13.27142966
30.841088,3003.5,12.13581909
30.841088,3004,10.86235142
30.841088,3004.5,8.206993998
30.841088,3005,7.279584131
30.841088,3005.5,7.949897869
30.841088,3006,9.137084392
30.841088,3006.5,13.0851661
30.841088,3007,14.47669408
30.841088,3007.5,12.6283574
30.841088,3008,10.98618288
30.841088,3008.5,10.70374034
30.841088,3009,10.66576525
30.841088,3009.5,10.26783163
30.841088,3010,10.91487065
30.841088,3010.5,10.5896805
30.841088,3011,11.75260628
30.841088,3011.5,16.69961931
30.841088,3012,24.38506775
30.841088,3012.5,28.37109783
30.841088,3013,24.04069901
30.841088,3013.5,17.9519049
30.841088,3014,14.93801475
30.841088,3014.5,13.6839551
30.841088,3015,12.21381229
30.841088,3015.5,13.55199402
30.841088,3016,18.81907278
30.841088,3016.5,21.48344222
30.841088,3017,19.27497369
30.841088,3017.5,16.2405838
30.841088,3018,13.85059026
30.841088,3018.5,15.78684443
30.841088,3019,20.22409328
30.841088,3019.5,21.55153029
30.841088,3020,18.97753435
30.841088,3020.5,18.33709313
30.841088,3021,19.17927681
30.841088,3021.5,18.16801605
30.841088,3022,17.44753572
30.841088,3022.5,15.51488725
30.841088,3023,14.06548622
30.841088,3023.5,12.19953986
30.841088,3024,9.577403158
30.841088,3024.5,7.083521958
30.841088,3025,6.265334818
30.841088,3025.5,8.531941409
30.841088,3026,12.80107769
30.841088,3026.5,15.39695339
30.841088,3027,15.54891484
30.841088,3027.5,16.22356683
30.841088,3028,15.17676
30.841088,3028.5,11.42687567
30.841088,3029,10.38875941
30.841088,3029.5,11.96848299
30.841088,3030,14.57583628
30.841088,3030.5,16.89989657
30.841088,3031,17.30268351
30.841088,3031.5,16.17008428
30.841088,3032,17.75874774
30.841088,3032.5,21.49144806
30.841088,3033,19.57991394
30.841088,3033.5,13.16019045
30.841088,3034,10.77642649
30.841088,3034.5,11.84093875
30.841088,3035,14.60206777
30.841088,3035.5,17.9873958
30.841088,3036,18.61526731
30.841088,3036.5,16.51623336
